DateTime,AddedIPs,RemovedIPs
1527398015,1,0
1527400186,0,0
1527411698,1,0
1527413569,1,0
1527417399,1,0
1527419332,1,1
1527421224,1,2
1527423165,1,1
1527425075,0,1
1527428908,0,1
1527430824,0,2
1527434669,0,1
1527436601,2,0
1527438505,3,1
1527440495,0,1
1527442365,1,0
1527444284,0,1
1527446224,1,0
1527448129,1,0
1527450027,0,3
1527451952,1,4
1527453894,1,1
1527457708,0,7
1527460595,2,4
1527462520,2,3
1527466351,0,1
1527468321,2,1
1527470186,1,0
1527474026,1,0
1527475994,0,3
1527477886,0,1
1527479850,0,1
1527483749,0,1
1527487425,0,1
1527498977,0,2
1527500901,3,1
1527504736,0,2
1527506659,1,2
1527510496,0,1
1527516268,1,0
1527518177,1,0
1527523893,0,2
1527525856,1,2
1527527799,2,1
1527529697,1,0
1527531624,1,0
1527533539,0,1
1527535458,1,1
1527537394,1,1
1527539296,1,2
1527541302,1,0
1527543156,2,0
1527545100,0,1
1527546996,2,1
1527548989,0,2
1527550818,1,0
1527552794,1,0
1527554661,0,2
1527556605,0,1
1527560465,1,1
1527562404,2,0
1527564316,1,0
1527568140,1,0
1527570095,3,0
1527571996,1,0
1527589233,1,0
1527596908,2,0
1527600744,1,0
1527602709,2,0
1527606542,2,0
1527608431,0,6
1527613154,0,1
1527615142,0,1
1527617062,0,1
1527618976,0,1
1527622815,1,2
1527624739,0,1
1527628576,0,2
1527630511,0,1
1527632431,0,2
1527634335,1,0
1527636256,1,1
1527638193,0,1
1527640093,1,0
1527645958,0,1
1527647793,0,1
1527649699,0,2
1527653541,0,1
1527657374,0,3
1527659293,1,1
1527668894,1,0
1527676584,0,1
1527682576,0,2
1527686416,0,1
1527688333,0,3
1527692191,0,2
1527700028,1,0
1527715458,1,0
1527721316,1,1
1527723177,1,1
1527726986,0,1
1527734684,1,0
1527738507,2,0
1527746195,1,1
1527753884,0,1
1527755794,0,1
1527786541,0,1
1527796140,1,0
1527798022,1,0
1527801878,0,1
1527803798,1,0
1527807876,0,1
1527809824,0,1
1527813632,1,0
1527817502,2,0
1527821332,1,1
1527823229,0,1
1527825171,0,1
1527827077,1,0
1527832905,0,1
1527834776,1,0
1527846315,2,0
1527852045,1,0
1527859707,1,0
1527861703,1,0
1527878915,4,0
1527880816,0,1
1527890546,0,1
1527895217,2,0
1527897163,1,0
1527899059,0,1
1527901302,3,0
1527903153,2,1
1527905071,2,0
1527906984,2,0
1527908927,0,1
1527916443,0,1
1527918683,0,0
1527921139,1,1
1527923327,0,0
1527926031,0,0
1527928521,24,0
1527930865,0,0
1527933078,0,2
1527935220,0,0
1527937876,0,0
1527940238,0,1
1527942648,0,0
1527944973,0,0
1527947214,0,2
1527951396,1,1
1527953724,1,0
1527956411,0,0
1527958700,0,0
1527961200,1,0
1527965970,0,4
1527968424,0,0
1527970744,0,0
1527972886,0,1
1527974862,0,0
1527977292,0,0
1527984242,0,3
1527986646,0,0
1527991405,2,7
1527993826,0,2
1527996226,0,0
1527998618,0,0
1528003384,0,0
1528005410,1,0
1528007365,0,1
1528011143,1,0
1528014994,1,0
1528032261,1,0
1528036104,0,1
1528039945,0,1
1528047703,0,1
1528063010,1,0
1528074537,0,1
1528078391,0,1
1528091773,1,1
1528097583,0,1
1528101444,1,1
1528103299,1,0
1528105266,1,0
1528112921,2,0
1528118677,0,1
1528126341,1,0
1528134048,1,0
1528137870,1,0
1528143634,1,0
1528153314,1,0
1528170539,1,0
1528176282,1,0
1528188020,0,1
1528197628,0,1
1528199545,1,0
1528201458,1,0
1528211077,1,0
1528221162,0,6
1528223062,0,1
1528226893,1,0
1528234818,1,0
1528236749,0,1
1528238659,0,1
1528246337,1,0
1528252094,2,0
1528261696,1,0
1528263619,1,0
1528273468,1,0
1528275392,1,0
1528279297,2,0
1528281158,1,0
1528284999,1,0
1528286924,1,0
1528290761,0,4
1528294582,1,0
1528298430,1,1
1528306276,2,0
1528308294,1,0
1528311714,1,1
1528313591,0,1
1528320502,1,0
1528324424,0,1
1528326784,0,0
1528331822,0,0
1528335441,1,1
1528337314,0,1
1528339239,0,1
1528348820,0,1
1528350765,1,1
1528352974,2,0
1528354904,1,0
1528358671,3,0
1528360577,0,2
1528362502,3,0
1528364425,0,2
1528366340,1,0
1528368262,1,1
1528372097,0,2
1528379778,1,0
1528381638,0,1
1528385561,4,1
1528387467,1,0
1528393227,0,2
1528395158,0,1
1528397074,1,1
1528400922,1,0
1528406683,0,1
1528413138,1,0
1528420830,0,1
1528428506,1,0
1528430511,1,0
1528432344,1,0
1528434260,1,0
1528438096,1,1
1528440021,0,2
1528441958,1,1
1528443858,0,2
1528445774,1,1
1528449618,0,3
1528453461,0,1
1528455368,0,1
1528463061,1,0
1528465159,0,1
1528471214,2,1
1528473153,0,4
1528484659,0,1
1528486878,0,1
1528492600,1,0
1528498506,0,1
1528506272,1,0
1528513945,1,1
1528515891,1,0
1528517789,1,1
1528519706,0,1
1528521640,1,1
1528523545,0,1
1528527400,0,1
1528531296,0,1
1528540830,5,0
1528542761,3,0
1528550426,0,1
1528552380,1,0
1528558103,0,2
1528560104,1,0
1528561964,1,0
1528571540,1,0
1528573459,1,0
1528577309,4,0
1528579219,1,1
1528581157,1,0
1528587879,2,0
1528589816,1,0
1528591710,0,1
1528593659,1,0
1528601324,0,2
1528605188,0,1
1528609041,0,1
1528626270,1,2
1528628216,1,6
1528630099,1,0
1528639994,0,1
1528647646,1,1
1528649561,1,1
1528657304,0,1
1528659172,0,1
1528666380,0,1
1528668672,2,1
1528674412,0,2
1528676339,0,1
1528680170,0,1
1528693462,1,0
1528707161,1,0
1528709063,1,0
1528710973,1,0
1528712911,0,1
1528714892,1,0
1528716746,1,1
1528718683,3,0
1528722522,5,0
1528728266,1,0
1528732204,1,0
1528734466,0,3
1528736590,1,0
1528754189,3,1
1528756100,0,1
1528765710,1,0
1528781058,0,1
1528790660,1,0
1528792574,1,0
1528794520,0,2
1528796418,0,1
1528800275,2,1
1528802175,0,1
1528804101,3,5
1528806058,0,1
1528807935,0,4
1528809856,0,1
1528811790,1,0
1528813698,1,1
1528817562,1,1
1528821873,0,1
1528823777,3,0
1528825709,1,0
1528829534,1,0
1528833389,1,0
1528840947,0,3
1528844898,1,1
1528850667,0,1
1528858347,1,0
1528871777,1,0
1528873724,1,0
1528877541,1,1
1528879472,0,1
1528883297,1,0
1528887144,0,2
1528889058,0,2
1528890991,0,1
1528898666,1,1
1528902506,0,1
1528910182,0,3
1528912114,0,1
1528915957,0,1
1528920752,0,1
1528924591,1,0
1528931672,0,1
1528946184,0,1
1528953853,2,0
1528955769,1,0
1528957708,8,0
1528959750,1,1
1528961773,0,1
1528965633,0,1
1528969469,0,1
