DateTime,Entries,UniqueIPs
1528263621,86,86
1528265564,90,90
1528267776,90,90
1528269625,90,90
1528271562,89,89
1528273470,86,86
1528275393,86,86
1528277310,86,86
1528279298,85,85
1528281159,84,84
1528283080,83,83
1528285000,78,78
1528286925,76,76
1528288826,73,73
1528290762,72,72
1528292685,71,71
1528294583,72,72
1528296506,68,68
1528298431,66,66
1528304181,66,66
1528306277,63,63
1528308295,64,64
1528311717,66,66
1528313592,64,64
1528320505,61,61
1528324426,62,62
1528326786,64,64
1528331827,63,63
1528335443,68,68
1528337316,66,66
1528339241,60,60
1528341179,64,64
1528343188,66,66
1528345008,70,70
1528346909,69,69
1528348821,67,67
1528350766,65,65
1528352975,62,62
1528354905,62,62
1528356749,59,59
1528358672,60,60
1528360578,62,62
1528362503,62,62
1528364426,62,62
1528366341,65,65
1528368263,66,66
1528370185,66,66
1528372098,67,67
1528374030,69,69
1528375964,71,71
1528377857,72,72
1528379779,72,72
1528381639,72,72
1528383699,73,73
1528385562,74,74
1528387468,73,73
1528389389,74,74
1528391322,74,74
1528393228,75,75
1528397075,75,75
1528398982,74,74
1528400923,74,74
1528402825,75,75
1528404743,74,74
1528408587,72,72
1528413139,72,72
1528415085,73,73
1528418899,71,71
1528420831,70,70
1528422760,67,67
1528424668,69,69
1528426635,67,67
1528428507,65,65
1528430513,59,59
1528432345,58,58
1528434261,57,57
1528436073,56,56
1528438097,56,56
1528440023,56,56
1528441959,61,61
1528443859,61,61
1528445775,58,58
1528447710,59,59
1528449619,60,60
1528451454,60,60
1528453462,58,58
1528455369,57,57
1528457298,58,58
1528459301,56,56
1528461141,58,58
1528463062,57,57
1528465160,56,56
1528467061,54,54
1528469277,55,55
1528471215,54,54
1528475055,54,54
1528476973,55,55
1528478891,57,57
1528480903,62,62
1528484660,63,63
1528486879,61,61
1528488751,62,62
1528492601,62,62
1528494506,63,63
1528496441,62,62
1528498507,61,61
1528500514,61,61
1528502533,60,60
1528504364,62,62
1528506273,64,64
1528508194,64,64
1528510196,68,68
1528512024,67,67
1528513946,68,68
1528517790,65,65
1528519707,64,64
1528521642,66,66
1528523546,68,68
1528527401,65,65
1528529301,65,65
1528531298,67,67
1528533175,64,64
1528535074,67,67
1528537011,70,70
1528538911,69,69
1528540832,69,69
1528542763,69,69
1528544691,79,79
1528546601,77,77
1528550427,77,77
1528552382,80,80
1528554283,80,80
1528556200,79,79
1528558105,80,80
1528560106,81,81
1528561966,80,80
1528565806,78,78
1528567712,78,78
1528569621,327,327
1528571541,328,328
1528573461,329,329
1528575379,329,329
1528579221,329,329
1528581158,328,328
1528583081,329,329
1528586028,327,327
1528587880,326,326
1528589817,327,327
1528591711,326,326
1528593660,325,325
1528595565,325,325
1528597498,323,323
1528599396,322,322
1528601325,324,324
1528603310,325,325
1528605189,327,327
1528607080,326,326
1528609042,331,331
1528610939,330,330
1528612883,329,329
1528614765,329,329
1528616700,326,326
1528618585,328,328
1528620534,328,328
1528622459,322,322
1528624367,322,322
1528626272,322,322
1528628218,322,322
1528632109,323,323
1528633958,324,324
1528637790,318,318
1528639995,321,321
1528641874,318,318
1528643894,318,318
1528645724,319,319
1528647648,314,314
1528649562,311,311
1528651484,308,308
1528653396,310,310
1528655359,67,67
1528657305,68,68
1528659173,67,67
1528661074,69,69
1528663130,72,72
1528666381,72,72
1528668674,72,72
1528672487,71,71
1528674414,70,70
1528676341,69,69
1528678233,72,72
1528680171,75,75
1528682086,75,75
1528684003,73,73
1528685934,75,75
1528687846,73,73
1528689698,74,74
1528691648,173,173
1528693464,175,175
1528695288,170,170
1528697332,170,170
1528699220,169,169
1528701144,168,168
1528703077,170,170
1528704976,167,167
1528707163,166,166
1528710974,165,165
1528712913,164,164
1528714894,163,163
1528716748,162,162
1528718685,161,161
1528720578,161,161
1528722524,160,160
1528726348,158,158
1528728267,159,159
1528730192,161,161
1528732205,159,159
1528734467,159,159
1528736591,161,161
1528738613,161,161
1528740615,159,159
1528742707,157,157
1528744598,156,156
1528746429,154,154
1528748418,153,153
1528750334,154,154
1528752263,153,153
1528754190,152,152
1528756101,151,151
1528758115,150,150
1528760055,149,149
1528761873,150,150
1528763776,149,149
1528765712,146,146
1528767626,146,146
1528769540,149,149
1528771470,148,148
1528773372,149,149
1528775296,149,149
1528777233,147,147
1528779141,148,148
1528781059,148,148
1528782992,149,149
1528784902,149,149
1528786907,148,148
1528788755,148,148
1528790662,149,149
1528792576,147,147
1528794523,148,148
1528796419,150,150
1528798343,149,149
1528802177,151,151
1528804102,152,152
1528806059,153,153
1528807937,155,155
1528809857,154,154
1528811791,154,154
1528813699,152,152
1528815718,152,152
1528817563,150,150
1528821874,151,151
1528823778,271,271
1528825711,271,271
1528827631,271,271
1528831459,273,273
1528835293,276,276
1528837111,277,277
1528840949,276,276
1528842972,275,275
1528844899,276,276
1528846832,274,274
1528848735,274,274
1528850668,275,275
1528852571,276,276
1528854492,272,272
1528856426,272,272
1528860254,272,272
1528862186,273,273
1528864094,270,270
1528866108,271,271
1528867955,271,271
1528869871,268,268
1528871778,273,273
1528873725,275,275
1528875622,274,274
1528877543,272,272
1528879473,271,271
1528881386,273,273
1528883298,272,272
1528885234,273,273
1528887146,274,274
1528889059,274,274
1528890992,273,273
1528892902,273,273
1528894904,272,272
1528896759,272,272
1528900577,273,273
1528902507,272,272
1528904423,274,274
1528906356,275,275
1528908266,274,274
1528910184,52,52
1528912115,51,51
1528914017,50,50
1528915958,55,55
1528918915,52,52
1528922662,48,48
1528926500,50,50
1528931674,53,53
1528933475,59,59
1528935398,60,60
1528937431,61,61
1528939235,62,62
1528941144,64,64
1528943062,65,65
1528946186,65,65
1528948091,64,64
1528950011,65,65
1528951946,64,64
1528953854,65,65
1528955771,66,66
1528957709,68,68
1528959751,64,64
1528961775,64,64
1528963702,64,64
1528965634,66,66
1528967535,64,64
1528969470,64,64
1528971376,63,63
