DateTime,AddedIPs,RemovedIPs
1526591306,1,1
1526622978,0,1
1526633554,0,1
1526635475,0,2
1526639321,0,1
1526642202,0,1
1526644168,1,1
1526652286,1,0
1526668367,1,0
1526672209,1,0
1526677965,0,1
1526738493,0,1
1526755929,0,1
1526757868,0,1
1526761689,1,0
1526765781,1,0
1526773458,1,0
1526777318,1,0
1526796768,1,0
1526808286,0,1
1526829642,1,0
1526846929,0,1
1526850771,1,0
1526852684,0,1
1526861452,0,1
1526863457,0,1
1526869158,1,0
1526873021,1,0
1526882931,0,1
1526888678,1,0
1526915771,1,1
1526927578,1,0
1526936694,0,1
1526947105,1,0
1526954755,0,1
1526958568,1,1
1526976534,1,0
1526982294,1,0
1526984226,0,1
1527002431,0,1
1527008182,1,0
1527014220,0,1
1527019979,1,0
1527028116,1,0
1527033896,0,1
1527045630,0,1
1527062937,0,1
1527068695,0,1
1527094611,1,1
1527106107,0,1
1527111903,1,0
1527113790,1,1
1527155801,1,0
1527161735,1,0
1527181855,0,1
1527198753,0,1
1527200667,0,1
1527202579,1,0
1527223953,2,0
1527237396,1,0
1527243157,0,1
1527245074,2,0
1527248907,0,1
1527258972,1,0
1527274893,1,0
1527282492,1,0
1527288999,0,1
1527291348,1,0
1527293545,0,0
1527295598,0,0
1527298155,0,0
1527300896,0,0
1527303218,0,0
1527305654,0,0
1527311239,1,1
1527314159,0,0
1527316666,0,0
1527318576,0,0
1527320947,0,0
1527322891,0,1
1527325310,0,0
1527336887,0,2
1527339156,0,1
1527343538,0,0
1527346504,0,1
1527350712,1,0
1527352733,0,0
1527355500,0,0
1527358178,0,0
1527361548,0,1
1527364302,0,0
1527369500,0,1
1527372648,0,0
1527375535,0,0
1527378876,1,1
1527381320,0,0
1527383938,1,0
1527386909,0,0
1527389378,0,0
1527391906,0,0
1527393919,0,0
1527396084,0,1
1527398007,0,0
1527400174,0,0
1527421219,1,0
1527425069,1,0
1527436596,0,1
1527438500,1,0
1527440490,1,0
1527466345,0,1
1527470179,0,1
1527472132,1,0
1527474019,1,0
1527487414,1,0
1527512483,0,1
1527520115,1,0
1527525850,0,1
1527527792,0,1
1527533533,1,0
1527548982,2,0
1527558512,0,1
1527560455,1,1
1527574825,0,1
1527578653,1,0
1527585386,0,1
1527608426,1,0
1527613148,0,1
1527634331,0,1
1527636251,0,1
1527647788,0,1
1527651607,1,0
1527665072,0,1
1527673691,1,0
1527694092,0,1
1527705855,0,1
1527709717,1,0
1527736578,0,1
1527759621,0,1
1527763492,1,0
1527771161,1,0
1527776896,1,0
1527783623,1,0
1527786089,1,0
1527795857,0,1
1527849884,0,1
1527857543,0,1
1527865266,0,1
1527869075,0,1
1527918673,1,1
1527921131,0,0
1527923312,0,0
1527926021,0,0
1527928512,0,0
1527930854,0,0
1527933070,0,0
1527935212,0,0
1527937868,0,0
1527942639,0,0
1527944964,1,0
1527947204,0,0
1527949062,0,0
1527951388,0,0
1527953715,0,0
1527956403,0,0
1527958692,0,0
1527961192,0,0
1527963555,0,0
1527965962,0,0
1527968417,0,0
1527970735,0,0
1527972876,0,0
1527974852,0,0
1527977283,0,0
1527981993,0,0
1527984234,0,0
1527986637,0,0
1527991397,1,0
1527993818,0,0
1527996218,0,0
1527998608,0,0
1528001074,0,0
1528003376,0,0
1528005404,0,1
1528009265,1,0
1528014989,1,0
1528030339,1,1
1528043768,1,0
1528064911,1,0
1528078385,0,1
1528080253,1,0
1528095699,0,1
1528101439,0,1
1528116779,0,1
1528130181,0,1
1528139801,1,0
1528151322,0,1
1528158993,1,0
1528166665,0,1
1528226887,0,1
1528244421,0,1
1528271768,1,0
1528311703,0,0
1528320491,0,0
1528324414,0,0
1528326774,0,0
1528331799,0,0
1528339229,1,0
1528359619,0,1
1528392264,1,0
1528403796,1,0
1528427070,0,1
1528448916,1,0
1528451066,1,0
1528462568,1,0
1528478886,0,1
1528494499,0,1
1528498500,1,0
1528523539,1,0
1528535067,0,1
1528537001,0,1
1528550420,0,1
1528586019,0,1
1528593652,1,0
1528607070,1,0
1528610930,0,1
1528647641,1,0
1528680162,0,1
1528692033,0,1
1528730612,0,1
1528757125,1,0
1528812738,1,0
1528844179,0,1
1528855723,1,0
1528900098,1,1
1528931666,1,0
1528941137,0,1
1528968534,1,0
