DateTime,AddedIPs,RemovedIPs
1528395156,1,2
1528397072,2,0
1528398980,2,0
1528400921,1,1
1528404741,0,2
1528406682,0,2
1528408583,1,2
1528411111,0,1
1528415082,2,0
1528416992,2,0
1528418896,2,1
1528420829,1,1
1528422757,1,0
1528428505,1,0
1528430448,1,0
1528432342,0,1
1528436071,1,2
1528449616,0,1
1528455367,1,0
1528457296,0,1
1528460187,1,0
1528470089,0,1
1528471935,2,2
1528473884,1,1
1528479898,1,1
1528481766,0,2
1528485613,0,2
1528487686,0,1
1528495707,1,1
1528497522,1,0
1528499561,1,0
1528501487,1,0
1528503376,2,2
1528505298,0,1
1528509155,0,1
1528511063,1,0
1528516908,0,1
1528518757,1,0
1528522580,2,1
1528530290,1,0
1528534098,1,0
1528537966,1,0
1528539919,1,0
1528541797,0,1
1528543745,2,0
1528553304,1,0
1528555252,1,0
1528557148,0,2
1528559126,0,1
1528564829,1,1
1528566687,1,1
1528575377,1,0
1528577308,1,0
1528581156,1,0
1528583078,0,2
1528586024,0,2
1528587877,2,1
1528589814,0,2
1528597495,0,2
1528599393,5,1
1528605185,0,1
1528607076,0,1
1528609039,1,4
1528610935,1,0
1528612879,0,1
1528616697,0,1
1528618581,1,0
1528620531,0,1
1528622456,1,0
1528626268,0,1
1528630097,0,1
1528632105,1,1
1528633955,1,0
1528635888,1,0
1528639991,1,1
1528641870,0,3
1528643890,2,0
1528651481,1,2
1528653393,1,0
1528659170,0,1
1528666378,2,1
1528670575,1,0
1528674411,0,1
1528680168,1,0
1528683999,0,2
1528685881,1,3
1528689695,1,0
1528695284,1,1
1528697326,1,2
1528701141,1,0
1528704973,0,1
1528707160,1,0
1528709061,0,1
1528714890,1,0
1528718681,1,1
1528720574,0,1
1528722520,0,1
1528726345,0,1
1528728264,1,0
1528730189,0,2
1528734464,0,1
1528738610,1,0
1528740612,0,1
1528742704,1,1
1528748415,3,0
1528752260,0,1
1528754187,0,1
1528758112,1,1
1528761870,1,0
1528765709,2,0
1528767623,1,1
1528769537,2,0
1528773369,2,0
1528775293,1,0
1528777230,1,0
1528779138,3,0
1528782989,11,2
1528784899,0,1
1528788752,0,1
1528790659,2,0
1528792573,1,0
1528794517,1,1
1528798340,1,0
1528802174,0,1
1528806056,0,1
1528809854,2,0
1528811788,1,0
1528819892,1,0
1528823776,0,1
1528829532,0,1
1528833387,0,1
1528835291,0,1
1528838910,1,0
1528840946,2,1
1528842969,0,1
1528844896,1,0
1528848732,0,1
1528850665,1,0
1528852568,1,3
1528854489,0,1
1528856423,1,1
1528858346,0,1
1528860252,1,2
1528864090,1,1
1528866105,0,1
1528867952,4,11
1528869868,1,0
1528877540,0,1
1528879470,2,0
1528881383,0,1
1528883295,0,1
1528896756,0,3
1528898664,2,1
1528900574,0,1
1528904419,0,1
1528910181,1,0
1528926497,0,2
1528928434,0,1
1528931670,2,1
1528937428,0,1
1528939232,0,1
1528943059,1,1
1528948088,1,2
1528950008,0,1
1528955768,5,7
1528959749,1,0
1528965631,0,1
1528967532,1,0
1528971372,0,1
