DateTime,AddedIPs,RemovedIPs
1528835551,22,22
1528836515,12,21
1528837475,24,20
1528838420,13,27
1528839373,11,18
1528840351,9,0
1528841294,27,19
1528842260,24,26
1528843232,32,45
1528844173,10,0
1528845132,27,20
1528846112,19,24
1528847058,41,19
1528848030,36,39
1528849029,35,38
1528849957,42,35
1528850894,29,18
1528851862,43,58
1528852830,41,45
1528853777,34,48
1528854730,33,21
1528855717,44,40
1528856650,19,36
1528857615,30,30
1528858583,19,33
1528859543,47,24
1528860491,15,28
1528861474,15,14
1528862427,31,39
1528863406,26,29
1528864354,19,11
1528865544,14,22
1528866509,23,23
1528867460,9,22
1528868410,21,9
1528869398,10,22
1528870333,24,25
1528871298,10,25
1528872267,36,22
1528873230,45,29
1528874173,12,41
1528875154,14,15
1528876093,18,21
1528877056,24,44
1528878021,12,13
1528878971,18,33
1528879928,19,19
1528880914,25,32
1528881852,15,12
1528882821,20,40
1528883783,26,35
1528884742,17,17
1528885688,14,36
1528886670,19,21
1528887617,17,25
1528888584,18,12
1528889550,15,28
1528890494,9,15
1528891453,15,38
1528892439,11,13
1528893369,22,19
1528894334,11,43
1528895313,38,34
1528896256,20,27
1528897210,13,9
1528898187,18,32
1528899136,29,19
1528900093,27,27
1528901066,10,13
1528902042,17,22
1528902971,6,20
1528903941,20,19
1528904905,7,27
1528905858,18,21
1528906809,13,22
1528907790,21,20
1528908734,11,6
1528909699,13,17
1528910669,13,11
1528911621,12,26
1528912569,17,13
1528913551,11,44
1528914490,14,0
1528915468,19,70
1528916412,18,0
1528917373,24,0
1528919332,70,82
1528920252,23,0
1528921235,13,0
1528922186,19,0
1528923146,16,0
1528924089,19,91
1528925057,22,0
1528926012,21,0
1528926994,31,0
1528927930,14,66
1528928894,9,0
1528929869,29,0
1528932057,54,110
1528932969,44,0
1528933938,38,0
1528934909,42,44
1528935858,24,122
1528936810,48,0
1528937787,29,0
1528938739,47,88
1528939698,8,0
1528940665,60,50
1528941649,20,56
1528942568,23,33
1528943555,11,14
1528944490,16,27
1528945479,30,31
1528946408,22,10
1528947378,34,23
1528948345,15,31
1528949301,30,30
1528950254,23,23
1528951273,16,15
1528952409,41,18
1528953381,14,21
1528954329,29,23
1528955290,21,19
1528956268,18,33
1528957208,16,28
1528958169,40,0
1528959147,17,16
1528960096,28,23
1528961053,14,29
1528962024,13,26
1528962967,41,0
1528963932,22,39
1528964910,15,21
1528965851,35,26
1528966820,29,33
1528967771,4,12
1528968747,31,19
1528969695,18,14
1528970662,30,28
1528971609,14,12
