DateTime,AddedIPs,RemovedIPs
1528216331,12,16
1528218268,12,13
1528220169,3,6
1528222089,18,9
1528224010,0,1
1528225936,12,13
1528227872,1,1
1528229792,21,11
1528231690,2,0
1528233625,14,21
1528235578,0,3
1528237481,11,13
1528239742,5,10
1528241548,1,2
1528243458,4,10
1528245377,1,6
1528247304,13,6
1528249214,0,2
1528251143,13,7
1528253065,1,1
1528254971,15,14
1528256906,2,2
1528258815,32,5
1528262666,11,10
1528264688,3,0
1528266797,15,12
1528268673,9,9
1528270582,0,4
1528272503,15,17
1528274416,1,1
1528276354,12,10
1528278278,3,2
1528280176,9,16
1528282101,3,8
1528284014,10,15
1528285945,1,2
1528287868,10,15
1528289782,4,4
1528291709,21,7
1528293645,2,1
1528295549,17,10
1528297462,19,16
1528299473,3,1
1528301331,26,15
1528303226,2,2
1528305151,13,16
1528307069,6,1
1528311701,23,32
1528313581,20,0
1528320489,53,36
1528324413,11,12
1528326772,33,5
1528331795,16,9
1528335430,9,12
1528337303,9,14
1528339227,6,1
1528341167,7,14
1528343172,1,3
1528344998,12,32
1528346900,2,0
1528348812,12,10
1528350758,0,2
1528352966,16,15
1528354862,2,1
1528356742,8,8
1528358664,16,13
1528360571,3,1
1528362496,18,11
1528364419,1,3
1528366334,20,10
1528368256,1,4
1528370176,21,6
1528372090,1,3
1528374022,11,12
1528375957,0,4
1528377850,11,20
1528379772,1,2
1528381632,16,16
1528384574,20,16
1528386502,0,4
1528388425,16,25
1528390334,1,3
1528392263,20,17
1528394184,2,4
1528396096,15,11
1528398065,3,3
1528399937,18,22
1528401860,16,28
1528403795,5,3
1528405704,15,23
1528409556,12,12
1528411644,2,1
1528413607,22,29
1528415559,3,1
1528417472,20,16
1528419379,0,1
1528421296,24,9
1528423269,2,0
1528425135,20,10
1528427069,8,11
1528430916,6,13
1528432823,1,2
1528434737,6,12
1528436812,1,0
1528438808,22,18
1528440959,3,1
1528442889,12,11
1528446998,12,16
1528448915,18,16
1528451065,3,0
1528452977,9,23
1528454900,1,0
1528456806,16,20
1528458734,0,1
1528460660,39,12
1528462567,3,0
1528464496,16,14
1528466483,1,1
1528469269,19,17
1528471207,19,20
1528473146,0,2
1528475048,38,15
1528476966,2,1
1528478884,11,19
1528481764,22,16
1528483699,0,1
1528485611,13,19
1528487685,0,1
1528489724,21,22
1528491796,9,14
1528493767,8,2
1528495705,22,11
1528497520,2,1
1528499559,23,20
1528501485,2,5
1528503373,12,19
1528505296,1,4
1528507230,15,23
1528509153,1,1
1528511062,18,14
1528512989,2,3
1528514903,12,9
1528516849,2,1
1528518754,16,7
1528520673,13,9
1528522578,1,1
1528524522,17,18
1528526416,4,6
1528528344,19,10
1528530289,2,1
1528532179,11,12
1528534097,3,0
1528536021,21,21
1528537963,1,2
1528539916,10,11
1528541794,1,3
1528543742,15,14
1528545693,1,0
1528547586,17,42
1528549487,20,18
1528551404,2,1
1528553302,23,17
1528555251,4,2
1528557146,12,18
1528559123,1,1
1528560977,11,34
1528562932,2,3
1528564826,18,11
1528566684,2,2
1528568660,13,21
1528570577,0,1
1528572499,12,11
1528575372,11,23
1528577303,1,1
1528579212,13,11
1528581150,2,6
1528583072,11,19
1528586017,11,26
1528587870,2,2
1528589808,14,11
1528591702,1,1
1528593650,9,16
1528595555,1,1
1528597488,21,17
1528599387,2,2
1528601314,15,14
1528603282,3,2
1528605175,14,14
1528607069,18,15
1528609032,2,1
1528610928,12,16
1528612872,1,5
1528614755,11,19
1528616690,3,1
1528618575,12,12
1528620524,4,3
1528622450,19,20
1528624358,1,1
1528626261,19,8
1528628206,3,1
1528630090,2,17
1528632096,0,1
1528633948,14,16
1528635881,10,19
1528637779,1,2
1528639985,12,19
1528641863,2,4
1528643884,22,15
1528645714,6,1
1528647639,13,12
1528649553,3,2
1528651474,14,17
1528653387,2,2
1528655311,7,12
1528657272,6,0
1528659164,20,15
1528661064,15,10
1528663120,2,0
1528666369,20,13
1528668661,22,12
1528670567,2,1
1528672475,11,12
1528674403,2,2
1528676329,16,14
1528678223,3,1
1528680160,11,10
1528682075,2,0
1528683992,18,18
1528686292,11,15
1528688194,2,1
1528690108,8,15
1528692032,4,1
1528693947,12,19
1528695890,0,1
1528697786,19,12
1528699701,3,1
1528701673,15,12
1528703575,1,2
1528705490,19,12
1528707375,2,4
1528709309,18,20
1528711288,5,3
1528713142,21,22
1528715074,24,1
1528716973,1,3
1528718902,17,14
1528720813,5,0
1528722737,20,11
1528724674,2,0
1528726585,14,15
1528728492,1,2
1528730610,24,22
1528733961,11,18
1528736244,5,4
1528738210,28,15
1528740990,23,8
1528742892,4,2
1528744808,27,16
1528746780,9,10
1528749042,15,14
1528751061,19,20
1528752969,4,1
1528754910,16,21
1528757124,7,3
1528758984,10,10
1528760894,3,3
1528762819,18,14
1528764759,8,3
1528766653,24,12
1528768576,8,3
1528770491,22,19
1528772449,4,2
1528774351,15,10
1528776306,20,9
1528778169,4,4
1528780112,28,10
1528782016,2,0
1528783937,17,20
1528785869,4,2
1528787769,18,14
1528789695,5,1
1528791625,19,19
1528793528,9,2
1528795453,22,17
1528797384,3,3
1528799290,16,22
1528802167,18,26
1528804093,3,1
1528806050,25,20
1528807928,2,2
1528809848,14,20
1528811782,10,0
1528813691,23,17
1528816570,22,23
1528818731,2,3
1528820655,18,10
1528822585,3,2
1528824487,24,29
1528826429,4,6
1528828350,19,15
1528830259,17,23
1528832169,2,7
1528834108,19,23
1528836014,8,0
1528837937,13,19
1528839852,4,3
1528841795,21,17
1528843694,3,6
1528845609,21,12
1528847561,9,4
1528849449,20,17
1528851383,5,8
1528853291,14,27
1528855228,9,8
1528857147,21,22
1528859061,18,16
1528860968,5,1
1528862910,18,18
1528864811,8,4
1528866728,31,23
1528868666,7,2
1528870567,19,22
1528872862,3,4
1528874784,22,20
1528876713,8,3
1528878636,32,19
1528880543,23,23
1528882351,9,6
1528884389,31,15
1528886409,8,3
1528888332,23,14
1528890264,7,1
1528892181,20,28
1528894090,5,3
1528896029,32,13
1528897926,5,5
1528899848,26,29
1528901717,3,5
1528903688,26,15
1528905638,5,2
1528907532,23,17
1528909451,31,21
1528911383,6,6
1528913291,31,18
1528915208,5,5
1528917134,27,16
1528919337,7,4
1528921239,34,18
1528923150,3,14
1528925065,26,12
1528926998,5,6
1528928900,22,21
1528931664,23,23
1528933466,5,9
1528935389,19,17
1528937422,11,8
1528939226,16,9
1528941135,3,8
1528943053,20,20
1528945484,16,19
1528947383,82,3
1528949306,19,15
1528951278,5,7
1528953188,21,29
1528955099,4,7
1528957039,27,22
1528958937,9,3
1528960860,21,19
1528962792,9,5
1528964693,18,31
1528966612,4,7
1528968532,26,28
1528970491,6,10
